20191132111291,NICHOLAS,Avengers: Endgame,NICHOLASGAN@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
20191132111311,SAM,Avengers: Endgame,SAM@LIVE.COM,12345678,1,THE CATHAY CINEPLEX
20191132113251,NICHOLAS,Avengers: Endgame,NG@HOTMAIL.SG,12345678,1,THE CATHAY CINEPLEX
20191132113501,NICHOLAS,Avengers: Endgame,NG@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
20191132113511,NICHOLAS,Avengers: Endgame,NG@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
2019113211441,NICHOLAS,Avengers: Endgame,NG@HOTMAIL.SG,1234,1,THE CATHAY CINEPLEX
2019113211491,NICHOLAS,Avengers: Endgame,GA,123,1,THE CATHAY CINEPLEX
20191132114221,ASD,Avengers: Endgame,AD,1,1,THE CATHAY CINEPLEX
20191132114321,NICHOLAS,Avengers: Endgame,NICHOLASGAN@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
20191132114331,SAM,Avengers: Endgame,SAM@HOTMAIL.SG,90123456,1,THE CATHAY CINEPLEX
20191132115101,NICHOLAS,Avengers: Endgame,NICHOLASGAN@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
20191132115111,SAM,Avengers: Endgame,SAM@HOTMAIL.SG,90281234,1,THE CATHAY CINEPLEX
20191132115271,NICHOLAS GAN,Avengers: Endgame,NICHOLAS@LIVE.COM,90288955,1,THE CATHAY CINEPLEX
20191132115281,SAM,Avengers: Endgame,SAM@LIVE.COM,12345678,1,THE CATHAY CINEPLEX
201911321201414,NICHOLAS,Birds of Prey,GAN,90288955,14,CATHAY CINEPLEX JEM
20191132120161,NICHOLAS,Birds of Prey,NICHOLAS@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
201911321202014,NICHOLAS,Birds of Prey,GAN,90288955,14,CATHAY CINEPLEX JEM
201911321202114,NICHOLAS,Birds of Prey,NICHOLAS@LIVE.COM,90288955,14,CATHAY CINEPLEX JEM
201911321202414,NICHOLAS,Birds of Prey,NICHOLAS@HOTMAIL.SG,90288955,14,CATHAY CINEPLEX JEM
201911321202810,NICHOLAS,Zombieland: Double Tap,GAN,90288955,10,CATHAY CINEPLEX PARKWAY PARADE
201911321202910,NICHOLAS,Zombieland: Double Tap,GAN,90288955,10,CATHAY CINEPLEX PARKWAY PARADE
20191132120331,NICHOLAS,Birds of Prey,GAN@HOTMAIL.SG,90288955,1,THE CATHAY CINEPLEX
20191132120344,NICHOLAS,Birds of Prey,GAN,12345678,4,THE CATHAY CINEPLEX
20191132120404,NICHOLAS,Birds of Prey,GAN,90288955,4,THE CATHAY CINEPLEX
20191132120414,NICHOLAS,Birds of Prey,GAN,90288955,4,THE CATHAY CINEPLEX
20191132120524,NICHOLAS,Birds of Prey,NICHOLAS@HOTMAIL.SG,90288955,4,THE CATHAY CINEPLEX
20191132120534,NICHOLAS,Birds of Prey,NICHOLAS@HOTMAIL.SG,90288955,4,THE CATHAY CINEPLEX
20191132121471,NICHOLAS,Birds of Prey,GAN,90288955,1,THE CATHAY CINEPLEX
20191132121481,NICHOLAS,Birds of Prey,NICHOLAS@HOTMAIL.SG,12345678,1,THE CATHAY CINEPLEX
